POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,URL_ID
0.117,0.008,0.8719930240558077,0.0125,35.5,15.492957746478872,20.39718309859155,35.5,99,639,1.4788732394366197,8,4.993740219092332,bctech2038
0.109,0.01,0.8319257821362847,0.013084112149532711,31.41176470588235,18.352059925093634,19.905529852390398,31.41176470588235,98,534,1.5355805243445693,7,5.00374531835206,bctech2039
0.124,0.011,0.8370308368086162,0.015086206896551725,66.14285714285714,19.654427645788335,34.31891391545819,66.14285714285714,91,463,1.632829373650108,7,5.375809935205184,bctech2040
0.151,0.015,0.8192721730591986,0.008670520231213872,49.285714285714285,20.869565217391305,28.06211180124224,49.285714285714285,72,345,1.6289855072463768,3,5.3478260869565215,bctech2041
0.113,0.011,0.8225740114999073,0.013636363636363636,54.875,19.134396355353076,29.603758542141232,54.875,84,439,1.601366742596811,6,5.195899772209567,bctech2042
0.105,0.01,0.8260797732193633,0.005671077504725898,66.0,17.424242424242426,33.36969696969697,66.0,92,528,1.496212121212121,3,4.926136363636363,bctech2043
0.112,0.012,0.8064451093136346,0.009913258983890954,26.633333333333333,18.773466833541928,18.162720066750104,26.633333333333333,150,799,1.525657071339174,8,5.468085106382978,bctech2044
0.121,0.009,0.8615318343705048,0.01048951048951049,33.588235294117645,19.78984238178634,21.351231070361592,33.588235294117645,113,571,1.5691768826619965,5,5.222416812609457,bctech2045
0.119,0.012,0.8167876581094801,0.011312217194570135,31.5,19.27437641723356,20.309750566893428,31.5,85,441,1.619047619047619,5,5.36734693877551,bctech2046
0.131,0.014,0.8068909869587105,0.0057692307692307696,51.9,19.07514450867052,28.39005780346821,51.9,99,519,1.5761078998073217,3,5.263969171483622,bctech2047
0.119,0.021,0.699995000035714,0.010121457489878543,44.81818181818182,18.255578093306287,25.229503964595246,44.81818181818182,90,493,1.565922920892495,4,5.137931034482759,bctech2048
